concept_name,concept_synonym
"calcium chloride(2백) 385.5mg/1.5ℓ, dextrose monohydrate(2백) 66g/1.5ℓ, magnesium chloride(2백) 76.5mg/1.5ℓ, sodium chloride(2백) 8.07g/1.5ℓ, sodium lactate(2백) 6.72g/1.5ℓ","calcium chloride (2 bags) 385.5mg/1.5ℓ, dextrose monohydrate (2 bags) 66g/1.5ℓ, magnesium chloride (2 bags) 76.5mg/1.5ℓ, sodium chloride (2 bags) 8.07g/1.5ℓ, sodium lactate ( 2 bags) 6.72g/1.5ℓ"
상황균사체엑스 1.1g,Sanghwang Mycelium Ex 1.1g
알러젠 추출물,allergen extract
fluticasone furoate 27.5ug/회,fluticasone furoate 27.5ug/time
"혈청,요등의 요소질소 성분 정량검사용 시약","Reagent for quantitative testing of urea nitrogen components in serum, urine, etc."
ketoprofen(f.) (서방형) 30mg,ketoprofen(f.) (extended release) 30mg
"calcium chloride dihydrate(B액500ml중) 0.331g, dextrose anhydrate(B액500ml중) 150g, dipotassium hydrogen phosphate(A액500ml중) 2.61g, glycine(A액500ml중) 4.38g, L-alanine(A액500ml중) 8.8g, L-arginine(A액500ml중) 4.89g, L-histidine(","calcium chloride dihydrate (in 500 ml of solution B) 0.331 g, dextrose anhydrate (in 500 ml of solution B) 150 g, dipotassium hydrogen phosphate (in 500 ml of solution A) 2.61 g, glycine (in 500 ml of solution A) 4.38 g, L-alanine (in 500 ml of solution A) (in 500ml) 8.8g, L-arginine (in 500ml of solution A) 4.89g, L-histidine ("
"calcium chloride dihydrate 0.74g(A액1000ml중), glucose monohydrate (as glucose 249.9g) 274.89g(B액595ml중), glycine 11g(A액1000ml중), L-alanine 14g(A액1000ml중), L-arginine 12g(A액1000ml중), L-histidine 3g (A액1000ml중), L-isoleucine 5g(A","calcium chloride dihydrate 0.74g (in 1000ml of solution A), glucose monohydrate (as glucose 249.9g) 274.89g (in 595ml of solution B), glycine 11g (in 1000ml of solution A), L-alanine 14g (in 1000ml of solution A), L -arginine 12g (in 1000ml of solution A), L-histidine 3g (in 1000ml of solution A), L-isoleucine 5g (in 1000ml of solution A)"
"calcium chloride(2백) 457.5mg/2.5ℓ, dextrose(2백) 106.25g/2.5ℓ, magnesium chloride(2백) 127mg/2.5ℓ, sodium chloride(2백) 13.45g/2.5ℓ, sodium lactate(2백) 11.2g/2.5ℓ","calcium chloride (2 bags) 457.5mg/2.5ℓ, dextrose (2 bags) 106.25g/2.5ℓ, magnesium chloride (2 bags) 127mg/2.5ℓ, sodium chloride (2 bags) 13.45g/2.5ℓ, sodium lactate (2 bags) bag) 11.2g/2.5ℓ"
"budesonide(micronized) 4.8mg(80μg/회), formoterol fumarate dihydrate 0.27mg(4.5μg/회)","budesonide (micronized) 4.8mg (80μg/time), formoterol fumarate dihydrate 0.27mg (4.5μg/time)"
혈청중 포도당 정량 검사,Serum glucose quantitative test
beclomethasone dipropionate 6mg(0.1mg/회),beclomethasone dipropionate 6mg (0.1mg/time)
human anti-hepatitis B immunoglobulin 10000단위,human anti-hepatitis B immunoglobulin 10000 units
"calcium chloride(2백) 1.2863g(A용액 2.5ℓ중), dextrose monohydrate(2백) 82.5g(A용액 2.5ℓ중), magnesium chloride(2백) 0.5083g(A용액 2.5ℓ중), sodium bicarbonate(2백) 1.05g(B용액 2.5ℓ중), sodium chloride(2백) 28.1975g(A용","calcium chloride (2 bags) 1.2863g (in 2.5 liters of solution A), dextrose monohydrate (2 bags) 82.5g (in 2.5 liters of solution A), magnesium chloride (2 bags) 0.5083g (in 2.5 liters of solution A), sodium bicarbonate (2 bags) 1.05g (in 2.5 liters of solution B), sodium chloride (2 bags) 28.1975g (for A)"
혈청중 지피티 활성정량검사,Quantitative test for GPT activity in serum
혈청중 칼슘 정량 검사,Serum calcium quantitative test
"calcium chloride(2백) 385.5mg/1.5ℓ, dextrose monohydrate(2백) 41.25g/1.5ℓ, magnesium chloride(2백) 76.5mg/1.5ℓ, sodium chloride(2백) 8.07g/1.5ℓ, sodium lactate(2백) 6.72g/1.5ℓ","calcium chloride (2 bags) 385.5mg/1.5ℓ, dextrose monohydrate (2 bags) 41.25g/1.5ℓ, magnesium chloride (2 bags) 76.5mg/1.5ℓ, sodium chloride (2 bags) 8.07g/1.5ℓ, sodium lactate (2 bags) 6.72g/1.5ℓ"
혈청등의 알카리성 인산효소성분의 측정시약,"Reagent for measuring alkaline phosphatase components in serum, etc."
"glucose monohydrate(as glucose 150g)(A액 500mL중), sodium dihydrogen phosphate dihydrate 2.34g(A액 500mL중), zinc acetate dihydrate 6.58mg(A액 500mL중), medium-chain triglycerides 25g(B액 250mL중), purified soybean oil 20g(B액 250mL중)","Glucose monohydrate (as glucose 150g) (in 500mL of solution A), sodium dihydrogen phosphate dihydrate 2.34g (in 500mL of solution A), zinc acetate dihydrate 6.58mg (in 500mL of solution A), medium-chain triglycerides 25g (in 250mL of solution B) , purified soybean oil 20g (in 250mL of solution B)"
"calcium chloride dihydrate 1.28625g(A액 2500mL중), dextrose monohydrate (as dextrose 113.65g)(A액 2500mL중), magnesium chloride hexahydrate 0.50825g(A액 2500mL중), sodium bicarbonate 14.7g(B액 2500mL중), sodium chloride 28.925g(A액 2500","calcium chloride dihydrate 1.28625g (in 2500mL of solution A), dextrose monohydrate (as dextrose 113.65g) (in 2500mL of solution A), magnesium chloride hexahydrate 0.50825g (in 2500mL of solution A), sodium bicarbonate 14.7g (in 2500mL of solution B), sodium chloride 28.925g (solution A 2500"
"aminoacetic acid 5350mg(A액500ml중), calcium chloride dihydrate 414mg(B액500ml중), dextrose 250g(B액500ml중), L-alanine 3100mg(A액500ml중), L-arginine 3950mg(A액500ml중), L-asparaginic acid 1900mg(A액500ml중), L-glutamic acid 325","aminoacetic acid 5350mg (in 500ml of solution A), calcium chloride dihydrate 414mg (in 500ml of solution B), dextrose 250g (in 500ml of solution B), L-alanine 3100mg (in 500ml of solution A), L-arginine 3950mg (in 500ml of solution A) ), L-asparaginic acid 1900mg (in 500ml solution A), L-glutamic acid 325"
"요중포도당,단백질,PH 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, and PH"
mometasone furoate 5.6mg(50μg/회),mometasone furoate 5.6mg (50μg/time)
요중 잠혈 검사용 시험지,Test strip for urinary occult blood test
혈청중 무기인 정럄검사,Test for inorganic substances in serum
혈청중 트리글리세라이드 정량검사,Serum triglyceride quantitative test
"calcium chloride dihydrate 0.338g(B액457ml중), glucose monohydrate(as glucose 102.6g) 112.8g(A액789ml중), glycine 4.707g(B액457ml중), L-alanine 9.46g(B액457ml중), L-arginine 5.256g(B액457ml중), L-histidine 2.194g(B액457ml중), L-isoleucin","Calcium chloride dihydrate 0.338g (in 457ml of solution B), glucose monohydrate (as glucose 102.6g) 112.8g (in 789ml of solution A), glycine 4.707g (in 457ml of solution B), L-alanine 9.46g (in 457ml of solution B) , L-arginine 5.256g (in 457ml of solution B), L-histidine 2.194g (in 457ml of solution B), L-isoleucin"
"aprotinin 1000KI.U(A병), calcium chloride 13.9~15.6mg(D병), human plasma fibrinogen 65-115mg(B병), human plasma thrombin 400-600I.U(C병)","aprotinin 1000KI.U (bottle A), calcium chloride 13.9~15.6mg (bottle D), human plasma fibrinogen 65-115mg (bottle B), human plasma thrombin 400-600I.U (bottle C)"
"dydrogesterone 10mg/정(A정 14정중), estradiol hemihydrate (as estradiol 2mg/정)(A정 14정중), estradiol hemihydrate (as estradiol 2mg/정)(B정 14정중)","dydrogesterone 10mg/tablet (out of 14 tablets A), estradiol hemihydrate (as estradiol 2mg/tablet)(out of 14 tablets A), estradiol hemihydrate (as estradiol 2mg/tablet)(out of 14 tablets B)"
"calcium chloride dihydrate 0.46g(A용액 906.25mL중)(2백), dextrose monohydrate 106g(A용액 906.25mL중)(2백), magnesium chloride hexahydrate 0.127g(A용액 906.25mL중)(2백), sodium bicarbonate 5.24g(B용액 1593.75mL중)(2백), sodium chlor","Calcium chloride dihydrate 0.46g (in 906.25mL of solution A) (2 bags), dextrose monohydrate 106g (in 906.25mL of solution A) (2 bags), magnesium chloride hexahydrate 0.127g (in 906.25mL of solution A) (2 bags), sodium bicarbonate 5.24g (in 1593.75mL of solution B) (2 bags), sodium chlor"
"glycopyrronium bromide (as glycopyrronium 1.5mg(50μg/캡슐)), indacaterol acetate (as indacaterol 4.5mg(0.15mg/캡슐)), mometasone furoate 4.8mg(0.16mg/캡슐)","glycopyrronium bromide (as glycopyrronium 1.5mg (50μg/capsule)), indacaterol acetate (as indacaterol 4.5mg (0.15mg/capsule)), mometasone furoate 4.8mg (0.16mg/capsule)"
"calcium chloride dihydrate 1.28625g(A액 2500mL중), dextrose monohydrate (as dextrose 212.5g)(A액 2500mL중), magnesium chloride hexahydrate 0.50825g(A액 2500mL중), sodium bicarbonate 14.7g(B액 2500mL중), sodium chloride 28.925g(A액 2500m","calcium chloride dihydrate 1.28625g (in 2500mL of solution A), dextrose monohydrate (as dextrose 212.5g) (in 2500mL of solution A), magnesium chloride hexahydrate 0.50825g (in 2500mL of solution A), sodium bicarbonate 14.7g (in 2500mL of solution B), sodium chloride 28.925g (solution A 2500m"
indacaterol maleate (as indacaterol 4.5mg(0.15mg/캡슐)),indacaterol maleate (as indacaterol 4.5mg (0.15mg/capsule))
혈청중 요소질소 정량검사용,For quantitative testing of serum urea nitrogen
혈청중 요산 정량검사용,For quantitative testing of uric acid in serum
혈청중 콜레스테롤 성분 정량검사 시약,Quantitative test reagent for serum cholesterol content
혈청중 총 콜레스테롤 성분.정량검사시약,Total cholesterol content in serum. Quantitative test reagent
"dydrogesterone 5mg/정, estradiol hemihydrate (as estradiol 1mg/정)","dydrogesterone 5mg/tablet, estradiol hemihydrate (as estradiol 1mg/tablet)"
"free-dried rabies vaccine produced on VERO cell line, inactivated and purified(or whole-virus rabies antigen) 2.5I.U이상(5I.U/mL이상)","free-dried rabies vaccine produced on VERO cell line, inactivated and purified (or whole-virus rabies antigen) 2.5I.U or more (5I.U/mL or more)"
"요중의 단백, 포도당, 빌리루빈, 케톤체, 잠혈, 아질산염 동시 검사용시험지","Test strip for simultaneous testing of urinary protein, glucose, bilirubin, ketone body, occult blood, and nitrite"
timolol maleate (as timolol 12.5mg(5mg/mL))(1회/1일),timolol maleate (as timolol 12.5mg (5mg/mL)) (once/day)
"fluticasone propionate 30mg(0.25mg/회), salmeterol xinafoate (as salmeterol 3mg(25μg/회))","fluticasone propionate 30mg (0.25mg/time), salmeterol xinafoate (as salmeterol 3mg (25μg/time))"
혈청중 매독 항체 측정용 시약,Reagent for measuring syphilis antibodies in serum
"calcium chloride dihydrate 0.12g(A액157.5ml중), glucose monohydrate(as glucose 35.36g) 38.9g(B액272ml중), glycine 1.73g(A액157.5ml중), L-alanine 2.21g(A액157.5ml중), L-arginine 1.89g(A액157.5ml중), L-histidine 0.47g(A액157.5ml중), L-isoleu","Calcium chloride dihydrate 0.12g (in 157.5ml of solution A), glucose monohydrate (as glucose 35.36g) 38.9g (in 272ml of solution B), glycine 1.73g (in 157.5ml of solution A), L-alanine 2.21g (in 157.5ml of solution A) in ml), L-arginine 1.89g (in 157.5ml of solution A), L-histidine 0.47g (in 157.5ml of solution A), L-isoleu"
"aminoacetic acid(glycine) 2.3598g(B액299.592ml중), calcium chloride 2H2O 2.9754g(B액299.592ml중), glucose 19%(glucose anhydate 99.522g) 526.338ml(A액 526.338ml중), intralipid 20%(purified soybean oil 40.014g)  200.07ml(C액200.07ml중), L","aminoacetic acid (glycine) 2.3598g (in 299.592ml of solution B), calcium chloride 2H2O 2.9754g (in 299.592ml of solution B), glucose 19% (glucose anhydate 99.522g) 526.338ml (in 526.338ml of solution A), intralipid 20% (purified soybean oil 40.014g) 200.07ml (in 200.07ml C liquid), L"
혈청중 감마지타피 활성측정,Measurement of gamma-Gitaphytic activity in serum
혈청 에이에스티효소 정량검사,Serum AST enzyme quantitative test
"aminoacetic acid(glycine) 3.84g(B액499.2ml중), calcium chloride 2H2O 0.384g(B액499.2ml중), glucose 11%(glucose anhydate 162.24g) 1476ml(A액1476ml중), intralipid 20%(purified soybean oil 84g) 424.8ml(C액424.8ml중), L-alanine 7.92g(B액499","aminoacetic acid (glycine) 3.84g (in 499.2ml of solution B), calcium chloride 2H2O 0.384g (in 499.2ml of solution B), glucose 11% (glucose anhydate 162.24g) 1476ml (in 1476ml of solution A), intralipid 20% (purified) soybean oil 84g) 424.8ml (in 424.8ml of solution C), L-alanine 7.92g (499ml of solution B)"
"calcium chloride 1.1025g/0.25ℓ (A분획), dextrose anhydrate 5g/0.25ℓ (A분획), magnesium chloride hexahtdrate 0.5083g/0.25ℓ (A분획), potassium chloride 1.491g/0.25ℓ (A분획), sodium bicarbonate 14.744g/4.75ℓ (B분획), sodium chloride 30.6","calcium chloride 1.1025g/0.25ℓ (fraction A), dextrose anhydrate 5g/0.25ℓ (fraction A), magnesium chloride hexahedrate 0.5083g/0.25ℓ (fraction A), potassium chloride 1.491g/0.25ℓ (fraction A), sodium bicarbonate 14.744g/4.75ℓ (B fraction), sodium chloride 30.6"
"indacaterol acetate (as indacaterol 4.5mg(0.15mg/캡슐)), mometasone furoate 9.6mg(0.32mg/캡슐)","indacaterol acetate (as indacaterol 4.5mg (0.15mg/capsule)), mometasone furoate 9.6mg (0.32mg/capsule)"
항산성균의 감별염색,Differential staining for acid-fast bacteria
코노데옥시콜린산과 우르소데스콜린산의 3수 마그네슘2 250mg,Trihydrate magnesium 2 of conodeoxycholic acid and ursodescholic acid 250mg
"calcium chloride dihydrate 0.402g(B액551ml중), glucose monohydrate(as glucose 137.9g) 151.72g(A액328ml중), glycine 5.675g(B액551ml중), L-alanine 11.406g(B액551ml중), L-arginine 6.337g(B액551ml중), L-histidine 2.645g(B액551ml중), L-isoleu","Calcium chloride dihydrate 0.402g (in 551ml of solution B), glucose monohydrate (as glucose 137.9g) 151.72g (in 328ml of solution A), glycine 5.675g (in 551ml of solution B), L-alanine 11.406g (in 551ml of solution B) , L-arginine 6.337g (in 551ml of solution B), L-histidine 2.645g (in 551ml of solution B), L-isoleu"
혈청중 포도당 정량검사용,For quantitative testing of serum glucose
"aminoacetic acid 3300mg(A액400ml중), calcium chloride 740mg(B액600ml중), glucose monohydrate 176g(B액600ml중), L-alanine 9700mg(A액400ml중), L-arginine monoglutamate 9960mg(A액400ml중), L-aspartic acid 3000mg(A액400ml중), L-glutami","aminoacetic acid 3300mg (in 400ml of solution A), calcium chloride 740mg (in 600ml of solution B), glucose monohydrate 176g (in 600ml of solution B), L-alanine 9700mg (in 400ml of solution A), L-arginine monoglutamate 9960mg (in 400ml of solution A) medium), L-aspartic acid 3000mg (in 400ml solution A), L-glutami"
"estradiol valerate 1mg/1정, medroxyprogesterone acetate 5mg/1정","estradiol valerate 1mg/1 tablet, medroxyprogesterone acetate 5mg/1 tablet"
혈청등의 콜레스테롤성분 정량검사 시약,"Quantitative test reagent for cholesterol components in serum, etc."
"alanine 5.82g(C액500ml중), arginine 3.24g(C액500ml중), asparaginic acid 1.8g(C액500ml중), calcium chloride dihydrate 0.5875g(C액500ml중), glucose monohydrate(as glucose anhydrate) 150g(A액500ml중), glutamic acid 4.21g(C액500ml중),","alanine 5.82g (in 500ml of solution C), arginine 3.24g (in 500ml of solution C), asparaginic acid 1.8g (in 500ml of solution C), calcium chloride dihydrate 0.5875g (in 500ml of solution C), glucose monohydrate (as glucose anhydrate) 150g (in 500ml of solution A), glutamic acid 4.21g (in 500ml of solution C),"
"요중포도당,단백질,PH,우로빌리노겐,빌리루빈,케톤체,잠혈,아질산염 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, PH, urobilinogen, bilirubin, ketone body, occult blood, and nitrite"
polysaccharide iron complex(Fe로서 20mg) 43.4mg,43.4 mg polysaccharide iron complex (20 mg as Fe)
"calcium chloride dihydrate(C액 1000ml중) 0.882g, glucose monohydrate(as glucose anhydate)(A액 1000ml중) 160g, glycine(C액 1000ml중) 3.3g, L-alanine(C액 1000ml중) 9.7g, L-arginine(C액 1000ml중) 5.4g, L-asparaginic acid(C액 1000ml중)","calcium chloride dihydrate (in 1000ml of solution C) 0.882g, glucose monohydrate (as glucose anhydate) (in 1000ml of solution A) 160g, glycine (in 1000ml of solution C) 3.3g, L-alanine (in 1000ml of solution C) 9.7g, L -arginine (in 1000ml of liquid C) 5.4g, L-asparaginic acid (in 1000ml of liquid C)"
"calcium chloride dihydrate 0.28g(A액380ml중), glucose monohydrate(as glucose 85.28g) 93.8g (B액656ml중), glycine 4.18g(A액380ml중), L-alanine 5.32g(A액380ml중), L-arginine 4.56g(A액380ml중), L-histidine 1.14g(A액380ml중), L-isoleucine 1.9","Calcium chloride dihydrate 0.28g (in 380ml of solution A), glucose monohydrate (85.28g as glucose) 93.8g (in 656ml of solution B), glycine 4.18g (in 380ml of solution A), L-alanine 5.32g (in 380ml of solution A) , L-arginine 4.56g (in 380ml of solution A), L-histidine 1.14g (in 380ml of solution A), L-isoleucine 1.9"
polysaccharide iron complex(Fe로서150mg) 326.1mg,polysaccharide iron complex (150mg as Fe) 326.1mg
ketoprofen(f.) (서방형) 60mg,ketoprofen(f.) (extended release) 60mg
heparin sodium 5000단위,heparin sodium 5000 units
risperidone서방성미립구(risperidone으로서 37.5mg) 98.4mg,risperidone sustained-release microspheres (37.5 mg as risperidone) 98.4 mg
단백성분의 정량검사용 시약,Reagents for quantitative testing of protein components
"calcium chloride(2백) 514mg/2ℓ, dextrose(2백) 30g/2ℓ, magnesium chloride(2백) 101.6mg/2ℓ, sodium chloride(2백) 10.76g/2ℓ, sodium lactate(2백) 8.96g/2ℓ","calcium chloride (2 bags) 514mg/2ℓ, dextrose (2 bags) 30g/2ℓ, magnesium chloride (2 bags) 101.6mg/2ℓ, sodium chloride (2 bags) 10.76g/2ℓ, sodium lactate (2 bags) 8.96g/ 2l"
human immunoglobulin-G(폴리에칠렌글리콜처리) 1g,human immunoglobulin-G (polyethylene glycol treated) 1g
"dydrogesterone 10mg/1정(A정 14정중), estrodiol hemihydrate 2.06mg/1정(A정 14정중), estrodiol hemihydrate 2.06mg/1정(B정 14정중)","dydrogesterone 10mg/1 tablet (out of 14 tablets A), estrodiol hemihydrate 2.06mg/1 tablet (out of 14 tablets A), estrodiol hemihydrate 2.06mg/1 tablet (out of 14 tablets B)"
"calcium chloride 0.418g/2ℓ(C분획), dextrose 1100g/2ℓ(A분획 및 B분획), magnesium chloride 0.108g/2ℓ(C분획), sodium chloride 10.76g/2ℓ(A분획 및 B분획), sodium chloride 10.76g/2ℓ(C분획), sodium lactate 9.44g/2ℓ(C분획","calcium chloride 0.418g/2ℓ (fraction C), dextrose 1100g/2ℓ (fraction A and B), magnesium chloride 0.108g/2ℓ (fraction C), sodium chloride 10.76g/2ℓ (fraction A and B), sodium chloride 10.76g/2ℓ (C fraction), sodium lactate 9.44g/2ℓ (C fraction"
요중의 우로빌리노겐 성분 검출시약,Reagent for detecting urobilinogen components in urine
human immunoglobulin-G(폴리에칠렌글리콜처리) 500mg,human immunoglobulin-G (polyethylene glycol treated) 500mg
"beclomethasone dipropionate 24mg(0.2mg/회), formoterol fumarate dihydrate 0.72mg(6μg/회)","beclomethasone dipropionate 24mg (0.2mg/time), formoterol fumarate dihydrate 0.72mg (6μg/time)"
reviparin sodium(anti factor Xa로서 3436IU) 32.54mg,reviparin sodium (3436IU as anti factor Xa) 32.54mg
"calcium chloride dihydrate 0.368g(A용액 725mL중)(2백), dextrose monohydrate 30g(A용액 725mL중)(2백), magnesium chloride hexahydrate 0.102g(A용액 725mL중)(2백), sodium bicarbonate 4.2g(B용액 1275mL중)(2백), sodium chloride 10.75g(","Calcium chloride dihydrate 0.368g (in 725mL of solution A) (2 bags), dextrose monohydrate 30g (in 725mL of solution A) (2 bags), magnesium chloride hexahydrate 0.102g (in 725mL of solution A) (2 bags), sodium bicarbonate 4.2g (in 1275mL of solution B) (2 bags), sodium chloride 10.75g ("
혈청중 감마글루타밀 트란스퍼레이스효소 정량검사,Quantitative test for gamma-glutamyl transferase enzyme in serum
"L-alanine 12.816g(B액800ml중), L-arginine 8.68g(B액800ml중), L-aspartic acid  2.56g(B액800ml중), L-glutamic acid  4.424g(B액800ml중), glycine  6.136g(B액800ml중), L-histidine 5.288g(B액800ml중), L-isoleucine  4.424g(B액80","L-alanine 12.816g (in 800ml of solution B), L-arginine 8.68g (in 800ml of solution B), L-aspartic acid 2.56g (in 800ml of solution B), L-glutamic acid 4.424g (in 800ml of solution B), Glycine 6.136g (in 800ml of solution B), L-histidine 5.288g (in 800ml of solution B), L-isoleucine 4.424g (in 80ml of solution B)"
"budesonide(micronized) 19.2mg(0.32mg/회), formoterol fumarate dihydrate 0.54mg(9μg/회)","budesonide (micronized) 19.2mg (0.32mg/time), formoterol fumarate dihydrate 0.54mg (9μg/time)"
"calcium chloride 2H2O(C액800ml) 0.592g, glucose monohydate(as glucose)(C액800ml) 320g, glycine(B액800ml중) 8.24g, L-alanine(B액800ml중) 16.56g, L-arginine(B액800ml중) 9.2g, L-histidine(B액800ml중) 3.84g, L-isoleucine(B액800ml중)","calcium chloride 2H2O (800ml of solution C) 0.592g, glucose monohydate (as glucose) (800ml of solution C) 320g, glycine (in 800ml of solution B) 8.24g, L-alanine (in 800ml of solution B) 16.56g, L-arginine ( 9.2g (in 800ml of solution B), 3.84g of L-histidine (in 800ml of solution B), L-isoleucine (in 800ml of solution B)"
"aminoacetic acid(glycine) 2.688g(B액349.44ml중), calcium chloride 2H2O 0.336g(B액349.44ml중), glucose 11%(glucose anhydrate 113.568g) 1033.2ml(A액1033.2ml중), intralipid 20%(purified soybean oil 59.472g) 297.36ml(C액297.36ml중), L-alanine","aminoacetic acid (glycine) 2.688g (in 349.44ml of solution B), calcium chloride 2H2O 0.336g (in 349.44ml of solution B), glucose 11% (glucose anhydrate 113.568g) 1033.2ml (in 1033.2ml of solution A), intralipid 20% (purified soybean oil 59.472g) 297.36ml (in C liquid 297.36ml), L-alanine"
B형간염바이러스표면항체검사,Hepatitis B virus surface antibody test
