concept_name,concept_synonym
MULTIFIT TOTAL HIP SYSTEM (STEM-CL),멀티핏 토탈 힙 시스템(STEM-CL)
T SMALL RIGHT ANGLE PLATE,T 소형 직각 플레이트
APIS 2.0 MINI DCP STRAIGHT PLATE,APIS 2.0 미니 DCP 스트레이트 플레이트
HCCD SYSTEM,HCCD 시스템
CHAORUM IMPLANT SYSTEM-FIXTURE(Ⅱ),차오럼 임플란트 시스템-픽스처(Ⅱ)
CORALIS SHOULDER SYSTEM HUMERAL CUP,CORALIS 어깨 시스템 상완골 컵
MUSCULUS TIBIALIS ANTERIOR TENDON,경골근 힘줄
HEMOSPLIT HEMODIALYSIS CATHETER,HEMOSPLIT 혈액투석 카테터
LIGAMENT WASHER BONE SCREW,인대 와셔 뼈 나사
NOVA PEDICLE SCREW SET,NOVA 페디클 스크류 세트
BIOCRYL INTERFERENCE SCREW,바이오크릴 간섭 나사
3.5 CORTICAL SCREW (SELF-TAPPING),3.5 피질 나사(셀프 태핑)
ENVOY GUIDING CATHETER,특사 가이드 카테터
TRILOGY CONSTRAINED LINER,TRILOGY 컨스트레인드 라이너
FLEXOR BALKIN UP&OVER CONTRALATERAL INTRODUCER SHEATH,FLEXOR BALKIN UP&amp;OVER 반대쪽 삽입관 덮개
PROXIMAL TIBIA PLATE - LOCKING,근위 경골판 - 잠금
SMALL BONE ACP T PLATE,작은 뼈 ACP T 플레이트
MENISCUS MEDIAL,반월판 내측
"HANKILTECH, WASHER FOR CANNULATED SCREW","한일테크, 유관나사용 와셔"
BONE TENDON BONE WITH QUADRICEP HEMI,대퇴사두근이 있는 뼈 힘줄 뼈
HIP SCREW FOR FEMORAL NAIL,대퇴골용 고관절 나사
BIO-ONE STEP 210 NW,바이오원 스텝 210 NW
NASO BILIARY DRAINAGE CATHETER,NASO 담즙 배액 카테터
HI-TORQUE WHISPER GUIDE WIRE,하이 토크 위스퍼 가이드 와이어
EP CAGE,EP 케이지
AORTIC VALVE,대동맥판 막
MATRIXNEURO CONTOURABLE MESH,MATRIXNEURO 컨투어러블 메시
BIOLOX DELTA LINER,바이오록스 델타 라이너
NU-HOPE RING BELT,뉴홉 링 벨트
M/DN RETROGRADE FEMUR NAIL SET,M/DN 역행 대퇴골 세트
C-STEM CEMENTED STEM,C-STEM 접합 스템
OSTEOVATION(IMPACT),골형성(충격)
N-HOLDER,N-홀더
HURRICANE RX BILIARY BALLOON DILATATION CATHETER,HURRICANE RX 담즙 풍선 확장 카테터
SUPERA PERIPHERAL STENT SYSTEM,SUPERA 주변 스텐트 시스템
SMARTMIX CEMVAC SYRINGE KIT,SMARTMIX CEMVAC 주사기 키트
EUPHORA,유포라
BROAD SELF COMPRESSION PLATE,광범위한 자체 압축 플레이트
ANATOMIC ULNAR SHORTENING PLATE,해부학적 척골 단축판
CANNULATED INTERFERENCE SCREW,관형 간섭 나사
ALLOCV(FEMORAL VEIN),ALLOCV(대퇴정맥)
MID SCREW FOR NS,NS용 중간 나사
SLIO-K1,SLIO-K1
VARICOTOP COMPRESSION STOCKINGS,VARICOTOP 압축 스타킹
4CIS SPINAL FIXATION SYSTEM CONNECTOR,4CIS 척추 고정 시스템 커넥터
MBCP STICK,MBCP 스틱
DUOTOME 550 SIDELITE,듀오톰 550 사이드라이트
STAR FIX,스타픽스
SUR-FIT NATURA UROSTOMY POUCH WITH ACCUSEAL TAP,ACCUSEAL TAP이 포함된 SUR-FIT NATURA 요루 파우치
SYNCHRO 2 GUIDE WIRE,싱크로 2 가이드 와이어
NCB 3.5 CORTICAL SCREW,NCB 3.5 피질 나사
STARFIX LIGHT,스타픽스 라이트
EB III ACTIVE FIXTURE,EB III 액티브 픽스처
HLS NOETOS TIBIAL METAL TRAY,HLS NOETOS 경골 금속 트레이
GAP PLATE FOR NEURO,신경용 갭 플레이트
OSTEONICS FEMORAL HEAD,Osteonics 대퇴골두
BENFIX LONG STEM,벤픽스 롱 스템
TRACHEOSTOMY TUBE DOUBLE CANNULA STANDARD TYPE,기관 절개 튜브 더블 캐뉼라 표준형
DEEP IMPLANT FIXTURE MOUNTED NON-HEX TYPE,Deep Implant Fixture Mounted NON-HEX TYPE
T-PORT,T-포트
INTERLOCK IDC OCCLUSION SYSTEM,인터록 IDC 폐색 시스템
NEURO ONE,뉴로원
INTERNAL IN-OCTA ABUTMENT-REGULAR,내부 IN-OCTA 어버트먼트-레귤러
CONTOUR RELOADABLE CARTRIDGE,컨투어 재장전형 카트리지
APIS 4.0MM CORTICAL LOCKING SCREW,APIS 4.0MM 코티컬 잠금 나사
"REFLEX HYBRID, ZERO SCREW","리플렉스 하이브리드, 제로 스크류"
ELLA COMPRESSION SLEEVE,엘라 압축 슬리브
CERVICAL RECONSTRUCTION PLATE,자궁경부 재건판
ORACLE DLIF CAGE,오라클 DLIF 케이지
CARDIOBLATE BIPOLAR SURGICAL ABLATION DEVICE,심혈관 양극성 수술 절제 장치
OPEN TEX 02,오픈텍스 02
FLOWTRON GARMENT,플로우트론 의류
PRELUDE F/R SHEATH INTRODUCER,PRELUDE F/R 외장 소개자
EXTREMILOCK APS-ANTEROLATERAL TIBIA PLATE,EXTREMILOCK APS-전외측 경골 플레이트
HYGIA CAST,휘지아 캐스트
NEXGEN LPS FEMORAL COMPONENT,NEXGEN LPS 대퇴골 구성품
VESSEL FUSER PCA INFUSER,용기 퓨저 PCA 인퓨저
ALCARE FLANGE CONVEX,ALCARE 플랜지 볼록
VICRYL RAPIDE,빅릴 래피드
REBAR REINFORCED MICRO CATHETER,철근 강화 마이크로 카테터
TUBE TO WIRE/PIN SINGLE CLAMP,튜브-와이어/핀 단일 클램프
SYNAPSE ROD CONNECTOR,시냅스 로드 커넥터
MEDICAL COMPRESSION STOCKING,의료용 압축 스타킹
BH+ PTCA BALLOON CATHETER,BH+ PTCA 풍선 카테터
BIOCOMPRESSION SCREW,생체압축 나사
LOCKING OHTO-FIX ANATOMICAL PLATE,잠금 OHTO-FIX 해부판
DIAPASON SCREW SET,다이아몬드 나사 세트
VENEX,베넥스
TIBIA DISTAL(W/O CARTILAGE),경골 말단(연골 없음)
SPO2 SENSOR,SPO2 센서
SHOULDER ABUT. CROWN(EXT.),어깨 맞대기. 크라운(외부)
NEXGEN LCCK FEMORAL COMPONENT,NEXGEN LCCK 대퇴골 구성품
TS BA FIXTURE,TS BA 고정 장치
TROPIAN(F),트로피안(여)
ALLOBONE (FIBULA SHAFT),알로본(비골축)
FLUSH KNIFE,플러시 나이프
PTCA TAMARIN BLUE CATHETER,PTCA 타마린 블루 카테터
ENTICOS S,엔티코스 S
DRY-DOC CANNULA,DRY-DOC 캐뉼라
U2 ACETABULAR CUP,U2 비구 컵
"INNO SHORT FIXTURE(SUB, N/M, SLA)","INNO 쇼트 픽스처(SUB, N/M, SLA)"
HANKIL ANATOMIC FIBULAR PLATE,한길해부비골판
URINE BAG(I),소변백(I)
LVIS & LVIS JR,LVIS &amp; LVIS JR
DIVERGENCE-L CAGE,다이버전스-L 케이지
GS 80,GS 80
CANNULATED WASHER,캐뉼러형 와셔
RX ACCULINK CAROTID STENT SYSTEM,RX ACCULINK 경동맥 스텐트 시스템
SG MEGAFIX2 ROD,SG MEGAFIX2 로드
COR (CONSISTENT OSTEOCHONDRAL REPAIR) SYSTEM,COR(지속적인 골연골 복구) 시스템
RUSSIAN ILIZAROV HALF PIN,러시아 ILIZAROV 하프 핀
PRODIGY PATIENT PROGRAMMER,신동 환자 프로그래머
AVM MICROCLIP,AVM 마이크로클립
ATTUNE TIBIAL COMPONENT (MOBILE),경골 구성 요소 조정(모바일)
CLEARCUT Q KNIFE,클리어컷 Q나이프
BAGIC II,베이직 II
ALLOBONE(METACARPAL BONE),알로본(중수골)
"MICRO PLATE, SCREEN","마이크로 플레이트, 스크린"
BIOBSORB α(N),바이오옵소브a(N)
SUTURE MERSILK,머실크 봉합사
WUNDRES REDLOCK,분드레스 레드락
VIBRANT SOUNDBRIDGE IMPLANTABLE HEARING PROSTHESIS(AP 404),VIBRANT SOUNDBRIDGE 이식형 청각 보철물(AP 404)
NEOCARE FILTER,네오케어 필터
DALL MILES TROCHANTERIC GRIP PLATE,DALL MILES 전자식 그립 플레이트
LCS FEMORAL COMPONENT,LCS 대퇴 구성 요소
APIS DISTAL RADIUS LOCKING PLATE(INTRA ARTICULAR),APIS 원위 반경 잠금 플레이트(관절 내)
APT MAP-IT MAPPING CATHETER,APT MAP-IT 매핑 카테터
NON-PVC I.V FLOW REGULATOR,비PVC IV 유량 조절기
HEMI FIBULA SHAFT,반비골 샤프트
PRODIGY,신동
SHINOBI PTCA STEERABLE GUIDEWIRE,SHINOBI PTCA 조종 가능 가이드와이어
SKY DOUBLE ROD,스카이 더블 로드
SMALL ANATOMICAL PLATE,작은 해부학적 판
BRAVA ELASTIC TAPE,브라바 탄성 테이프
BIOBSORB A INTERFERENCE SCREW,간섭 나사의 생체 흡수
HKT EXTERNAL FIXTOR,HKT 외부 고정 장치
H1 PLATE PIN TYPE,H1 플레이트 핀 유형
ILIAC CREST WEDGE,장골능 웨지
RINGLOC BIPOLAR CUP,RINGLOC 바이폴라 컵
THIN-FLEX VENOUS RETURN CANNULA,얇은 유연성 정맥 복귀 캐뉼라
SILICONE SHEETING,실리콘 시트
ULC SPINAL ROD,ULC 척추 막대
SALTO MOBILE VERSION TALAR COMPONENT,SALTO 모바일 버전은 구성 요소를 말합니다
ACUITY X4 LEAD,ACUITY X4 리드
SKIN PROTECTIVE PASTE,피부 보호 페이스트
BRONCHO CATHETER,기관지 카테터
PRO-KINETIC CORONARY STENT SYSTEM,운동 촉진 관상동맥 스텐트 시스템
MENISCAL REPAIR,메니스컬 수리
PROXIMAL HUMERAL SUTURE PLATE,근위 상완골 봉합판
ALLOSPINE (RADIUS RING W/ CANCELLOUS),동척(취소형 반경 링)
ANATOMIC RADIAL HEAD SYSTEM,해부학적 방사형 머리 시스템
TRAUMA PLATE SYSTEM -RECONSTRUCTION PLATE STR,트라우마 플레이트 시스템 -재건 플레이트 STR
XIA VITALLIUM ROD,XIA 바이탈리움 로드
MEGA SPINE ROD,메가 척추 막대
DENTIUM IMPLANT,치아 임플란트
GONADAL VEIN,생식선 정맥
"ENDOSCOPIC LIGATOR KIT, STIEGMANN-GOFF","내시경 결찰기 키트, STIEGMANN-GOFF"
DOUJET 40B,두제 40B
NEW BONE,새로운 뼈
GLSORB/MAXUTURE,GLSORB/MAXUTURE
EGIS ESOPHAGEAL COVER STENT,이지스 식도 커버 스텐트
SHEATHLESS EAUCATH,칼집 없는 오카스
LOCKING BUTTRESS SCREW,잠금 버트레스 나사
MEDIVEN ACTIVE (COMPRESSION CLASS 2),MEDIVEN ACTIVE(압축 등급 2)
DEMINERALIZED CORTICAL POWDER,탈염된 피질분말
PONTO 3,포인트 3
THE JASPER SPINAL FIXATION SYSTEM SCREW SET,재스퍼 척추 고정 시스템 나사 세트
LATERAL DISTAL FIBULA LOCKING PLATE,측면 원위 비골 잠금 플레이트
PERONEOUS LONGUS,Peroneous Longus
ALLOBONE(CARPAL BONE-LUNATE),알로본(수근골-월상골)
EASYVAC,이지백
APIS 3.5MM LOCKING CLAVICLE PLATE (DISTAL TYPE),APIS 3.5MM 잠금 쇄골 플레이트(원위형)
SIM WASHER,심 세탁기
IPU FILTER 0.2㎛,IPU 필터 0.2μm
PERIPHERAL CUTTING BALLOON CATHETER,주변 절단 풍선 카테터
AXS CATALYST DISTAL ACCESS CATHETER,AXS CATALYST 원위 접근 카테터
GENESIS PATELLAR COMPONENT,제네시스 슬개골 구성 요소
BENIGN SHIM'S TECHNIQUE,BenIGN SHIM의 기술
BOVIEMEDICAL DISPOSABLE ELECTRODE(BALL),BOVIEMEDICAL 일회용 전극(볼)
CELSIUS THERMOCOUPLE TEMP CATHETER,섭씨 열전대 온도 카테터
BOAZ LT CAGE,보아즈 LT 케이지
FUJI IX GP EXTRA (1-1 PACK),후지 IX GP EXTRA(1-1팩)
MEDIQUET,약
PRIMARY CAGE(C),1차 케이지(C)
HALF PIN,하프 핀
OPTCLA TROCAR(BLADELESS TYPE),OPTCLA 트로카(블레이드리스형)
OTIS CROSS CONNECTOR SYSTEM,오티스 크로스 커넥터 시스템
NARROW COMPRESSION LOCKING PLATE 4.5,좁은 압축 잠금 플레이트 4.5
ACTI V.A.C CANISTER,ACTI VAC 캐니스터
TRACHEOSTOMY TUBE CUFFED,기관 절개 튜브 커프
DENTIUM TI-GR2 ABUTMENT( ANGLED ABUTMENT ),TI-GR2 어버트먼트(각진 어버트먼트)
CHECK VALVE INFUSION SET,체크 밸브 주입 세트
ULTRAVIT 7500 / 10000 CPM VITRECTOMY PROBE,ULTRAVIT 7500 / 10000 CPM 유리체절제 프로브
POLYMEM ADHESIVE CLOTH-BACKED DRESSING,폴리머 접착 천을 덧댄 드레싱
PRIME-S CVC SET,PRIME-S CVC 세트
ENDO GIA,엔도 지아
EGIS SC BILIARY STENT,이지스 SC 담즙 스텐트
LOW PROFILE LOCKING SCREW,로우 프로파일 잠금 나사
LUMINUS FLEX MODULAR TIBIAL HEMI BLOCK,LUMINUS FLEX 모듈형 경골 반 블록
APIS VARIABLE LOCKING FOOT PLATE,APIS 가변 잠금 풋 플레이트
LOCKING SMALL CALCANEUS PLATE,작은 종골판 잠금
BY INJECTION NEEDLE,주사 바늘로
GRASPING BASKET,쥐는 바구니
VCF NEEDLE,VCF 바늘
ZRGEN ABUTMENT,ZRGEN 어버트먼트
LUMINEXX3 BILIARY STENT,LUMINEXX3 담즙 스텐트
DYNA LOCKING CANNULATED SCREW,DYNA 잠금 관형 나사
QPLINT-SA,QPLINT-SA
LNK CERVICAL CONNECTOR,LNK 경추 커넥터
GREEN SPLINT,녹색 부목
COVERED PANCREAS,덮힌 췌장
ARMADA 35 PTA CATHETER,ARMADA 35 PTA 카테터
EXTERNAL FIXATOR WRIST,외부 고정 장치 손목
EASYCURE INJECTION NEEDLE,이지큐어 주사바늘
INTRO FLEX,인트로 플렉스
CU-CARE-1900,CU-CARE-1900
ENOS KIT,이노스 키트
AUTOMED PCA TUBING SET,자동화된 PCA 튜브 세트
ZIONICS SUB CEMENTED,ZIONICS 하위 시멘트
TUNNELING DEVICE,터널링 장치
EWHA CENTRAL VENOUS CATHETERIZATION SET,이화정맥 도뇨세트
CRYLREX,크릴렉스
EB ANGLED ABUTMENT,EB 앵글 어버트먼트
LNK ALIF PEEK CAGE,LNK ALIF PEEK 케이지
L BUTTRESS PLATE,L 버트레스 플레이트
COMPREHENSIVE SHOULDER SYSTEM HUMERAL TRAY,포괄적인 어깨 시스템 상완골 트레이
ORSIRO,오르시로
TUBE HOLDER,튜브 홀더
ENDO LOOP,엔도루프
NYLON,나일론
SYNCERA,동조
ECHELON ENDOSCOPIC STAPLER,ECHELON 내시경 스테이플러
TEKLENS IIIMODEL 900,TEKLENS III모델 900
ETS & ETS-FLEX RELOAD CARTRIDGE,ETS 및 ETS-FLEX 재장전 카트리지
CAPIOX FX OXYGENATOR,CAPIOX FX 산소 공급기
DRAEGER-RAINBOW SENSOR,DRAEGER-RAINBOW 센서
ILIAC VESSEL,장골 혈관
MATRIX MANDIBLE RECONSTRUCTION SCREW,매트릭스 하악골 재구성 나사
ARROW PERCUTANEOUS SHEATH INTRODUCER,화살표 경질 칼집 소개자
CLAVICLE PLATE,쇄골판
PEEKPOWER DISTAL RADIUS PLATE CORTICAL LOCKING SCREW,PEEKPOWER 원위 반경 플레이트 피질 잠금 나사
FUJI II(CAPSULE),후지II(캡슐)
14FR JUGULAR HEMODIALYSIS CATHETER,14FR 경정맥 혈액투석 카테터
VENOUS INTRODUCER SHEATH,정맥 도입기 칼집
ALLOBONE(FEMUR DISTAL),알로본(대퇴골 원위)
DUALPOR COLLAGEN D-INJECTION 03,듀얼포콜라겐디주사 03
MINI ACCESS HAIR WIRE,미니 액세스 헤어 와이어
CEMENTED CUP,시멘트 컵
NEO MULTI-PORT,네오 멀티포트
CMW SYRINGE KIT,CMW 사이드 링 키트
DEXIDE 5MM THREADED TROCAR,DEXIDE 5MM 나사식 트로카
EXTERNAL FIXATOR MONO TUBE SET,외부 고정 장치 모노 튜브 세트
METIS SPLINT(PRECUT TYPE),메티스 스플린트(프리컷 타입)
CANCELLOUS LOW PROFILE SCREW SS,취소형 로우 프로파일 나사 SS
RED -DOT,빨간 점
SILVER SPEED HYDROPHILIC GUIDE WIRE,실버 스피드 친수성 가이드 와이어
OP SITE IV 3000,현장 IV 3000
KNEE SLICE,무릎 슬라이스
TEMPORARY CARDIAC PACING WIRE,임시 심장 조율 와이어
REGENOMER,재생기
PERONEUS BREVIS,페로네우스 쇼트
CEPTHAR PE LINER,셉타 PE 라이너
"SIC BAR AND BRIDGE ABUTMENT ""SAFE NO FOUR"" ANGLE",SIC 바 및 브리지 어버트먼트 &quot;SAFE NO FOUR&quot; 각도
ANTERIOR CERVICAL PLATE SET,전방 경추 플레이트 세트
RIVA SILVER P/L TYPE,리바 실버 P/L 타입
NITI-S ESOPHAGEAL DOUBLE COVERED STENT(PTFE),NITI-S 식도 이중 커버 스텐트(PTFE)
BIO-GIDE / COMPRESSED,바이오가이드 / 압축
EXTERNAL FIXATOR ORTHOFIX D.W.F,외부 고정 장치 ORTHOFIX DWF
ENDURENT ABDOMINAL STENT GRAFT SYSTEM - AORTIC EXTENSION,지속적인 복부 스텐트 이식 시스템 - 대동맥 확장
BENCOX DELTA HEAD,벤콕스 델타 헤드
MONOSYN,모노신
BASILIC VESSEL,바질 용기
ZIONICS SUB CEMENTEDⅡ,ZIONICS SUB 시멘트 II
OSSPOL(BLOCK ),OSSPOL(블록)
TRAUMA PLATE SYSTEM - PROXIMAL HUMERUS PLATE,외상판 시스템 - 근위 상완골판
DENTIUM ABUTMENT SYSTEM(ANGLED ABUTMENT),치아 어버트먼트 시스템(각진 어버트먼트)
DVR SMOOTH PEG SCREW,DVR 부드러운 PEG 나사
"TARIC ANKLE SYSTEM (TALAR COMPONENT, MOBILE TYPE)","타릭 발목 시스템(거골 구성품, 이동식 유형)"
NEOCARE PLUS,네오케어 플러스
URGOTUL,우르고트
"SMALL PLATE T,T.O TYPE","소형 플레이트 T, 유형별"
ACHILLES TENDON WITHOUT BONE BLOCK,뼈 블록이 없는 아킬레스건
DREAM CAGE PEEK TLIF,드림 케이지 픽 TLIF
MINISITE MINIPORT,미니사이트 미니포트
RIVAL PTA BALLOON CATHETER,라이벌 PTA 풍선 카테터
SYNDESMOSIS TIGHTROPE,신데스모시스 줄타기
EVOLUTION MP FEMORAL COMPONENT,EVOLUTION MP 대퇴골 구성요소
REXMONO,REXMONO
TSII SA SHORT,TSII SA 쇼트
BONASTENT (DUODENAL/PYLORIC),좋음(십이지장/유문)
APPLIED TIGOLD,적용된 타이골드
"INDUCERA, OVISXENO","인듀스, 오비스세노"
SILS PORT,실스 포트
JMS(K) F.C-A,JMS(K) FC-A
DEPUY S-ROM STEM,DEPUY S-ROM 스템
POSTERIOR STABILIZER TIBIAL BEARING,후방 안정 장치 경골 베어링
STAINLESS STEEL SUTURE WIRE,스테인레스 스틸 봉합 와이어
G7 CERAMIC MODULAR HEAD,G7 세라믹 모듈러 헤드
MOUNTAINEER OCT SPINAL SYSTEM-WEDDING BAND,MOUNTAINEER OCT 척추 시스템 웨딩 밴드
OPTICFIBER NT-400/NT-600,광섬유 NT-400/NT-600
GORE SEPTAL OCCLUDER,GORE 격막 폐쇄 장치
FATHOM STEERABLE GUIDEWIRE,FATHOM 조종 가능한 가이드와이어
TRANSFORM OCCLUSION BALLOON CATHETER,변형 폐색 풍선 카테터
THORAMETRIX CHEST DRAINAGE SYSTEMS,흉곽 흉부 배수 시스템
CALCANEOUS STEP PLATE,종골 계단판
TRACHEAL TUBE HOLDER,기관 튜브 홀더
GMK FLOW REGULATOR,GMK 유량 조절기
OSTEO CEMENT NEEDLE,OSTEO 시멘트 바늘
VEGA,베가
FIXONE BIOCOMPOSITE ANCHOR,FIXONE 생체복합체 앵커
ANGIO CATHETER (RF GLIDE CATH),혈관 카테터(RF 글라이드 카테터)
COYOTE ES PTA BALLOON DILATATION CATHETER,COYOTE ES PTA 풍선 확장 카테터
POLY AX CANCELLOUS SCREW,폴리 액스 취소 나사
MINI PLATE 2.0MM DCP PLATE,미니 플레이트 2.0MM DCP 플레이트
MR-IM SPIRAL BLADE,MR-IM 스파이럴 블레이드
STRAIGHT SAFETY GUIDE WIRE,직선형 안전 가이드 와이어
OPTETRAK TIBIAL TRAY,OPTETRAK 경골 트레이
OPEN TEX-TR,오픈 텍스트-TR
SAFIO S,사피오 S
SOLID SCREW ABUTMENT[KISSES],솔리드 스크류 어버트먼트[KISSES]
HUMAN BONE-PROXIMAL TIBIA(WITHOUT CARTILAGE),인간 뼈-근위 경골(연골 없음)
SILICONE FOLEY CATHTER(T),실리콘폴리캐터(T)
BONGIPS,봉입스
SSIII HA,SSIII HA
POSEIDON CONNECTOR,포세이돈 커넥터
ATW STEERABLE GUIDE WIRE,ATW 조종 가능한 가이드 와이어
ZCA ACETABULAR RECONSTRUCTION CAGE,ZCA 비구 재건 케이지
PREMIUM SURGICLIP,프리미엄 수술
SPLUS LOCK(SL-2),에스플러스락(SL-2)
ACS LS FEMORAL COMPONENT,ACS LS 대퇴부 구성요소
"DISTAL FEMUR HEMI, LATERAL","원위 대퇴골 반, 측면"
NEMOACAST,네모캐스트
RAPIDFLAP LACTOSORB,래피드플랩 락토소브
"HANKILTECH, RECONSTRUCTION PLATE, CURVED 3.5","한일테크, 재구성판, 커브드 3.5"
HCR WASHER,HCR 와셔
LCP MEDIAL PROXIMAL TIBIA PLATE,LCP 내측 근위 경골 플레이트
JETSTREAM ATHERECTOMY CATHETER,JETSTREAM 동맥 절제술 카테터
MINI-REVO WITH HI-FI SUTURE,HI-FI 봉합사를 갖춘 MINI-REVO
EPILOG,발문
WEGO-PGA,위고-PGA
"IDRT, IMDRT","IDRT, IMDRT"
TRICEP HOOKED-PRONG GRASPING FORCEPS,삼두근 갈고리 잡는 집게
PC,PC
LOCKING SLEEVE FOR UFN,UFN용 잠금 슬리브
VENTURE PLATE SET,벤처 플레이트 세트
MONOFUSION,모노퓨전
NOVA CROSS LINK SET,노바 크로스링크 세트
APIS HEADLESS COMPRESSION SCREW,APIS 헤드리스 압축 나사
FEMORAL JOINT REPLACEMENT PART,대퇴관절 교체 부품
ALCARE COLOSTOMY BAG,ALCARE 결장루 주머니
VENTURE SCREW,벤처 스크류
MEMORY EXTRACTION BASKET,메모리 추출 바구니
LUMEN CROSS LINK SET,루멘 크로스링크 세트
HLS UNI EVOLUTION TIBIAL COMPONENT,HLS UNI EVOLUTION 경골 구성 요소
MONOFIT-S,모노핏-S
SONGLIM CATHETER,송림카테터
THERMOCOOL IRRIGATED- TIP ABLATION CATHETER,열 냉각식 관개형 팁 절제 카테터
ESTEEM PLUS FLEX CONVEX POUCH,에스팀 플러스 플렉스 볼록 파우치
