concept_name,concept_synonym
"Holiday, The day of cancer screening, medical examination","공휴일, 암검진 당일 진찰"
"Saturday 09:00-13:00, The day of cancer screening, medical examination","토요09-13, 암검진 당일 진찰"
"The day of Infant/Toddler health checkup, medical examination",영유아 건강검진 당일 진찰
(Health insurance) issued outpatient prescriptions in social welfare facilities,(건강보험)사회복지시설내 원외처방전 교부
"guardian visit, In case only medication or prescription is received",보호자내원 약제또는처방전만 수령한 경우
Intracavitary therapy room,강내치료실
"Internal medicine patient, Pediatric Patient, Psychiatric patient","내,소,정신과"
"00:00 - 06:00 to admission, Intracavitary therapy room",오전0-6시입원 강내치료실
"00:00 - 06:00 to admission, Internal medicine patient, Pediatric Patient, Psychiatric patient",오전0-6시입원 내.소.정신과
"discharge between 18:00 - 24:00, Intracavitary therapy room",18-24시퇴원 강내치료실
"discharge between 18:00 - 24:00, Internal medicine patient, Pediatric Patient, Psychiatric patient",18-24시퇴원 내.소.정신과
From 16 - 30 days of hospitalizaion,입원16일-30일까지
"From 16 - 30 days of hospitalizaion, Intracavitary therapy room",입원16일-30일까지 강내치료실
"From 16 - 30 days of hospitalizaion, Internal medicine patient, Pediatric Patient, Psychiatric patient","입원16일-30일까지 내,소,정신과"
From 31 days of hospitalizaion,입원31일부터
"From 31 days of hospitalizaion, Intracavitary therapy room",입원31일부터 강내치료실
"From 31 days of hospitalizaion, Internal medicine patient, Pediatric Patient, Psychiatric patient","입원31일부터 내,소,정신과"
"From 181 to 360 days of hospitalization, Internal medicine patient, Pediatric Patient, Psychiatric patient","입원181일-360일까지 내,소,정신과"
"From 361 days of hospitalization, Internal medicine patient, Pediatric Patient, Psychiatric patient","입원361일부터 내,소,정신과"
Neonate,신생아
"Neonate, Nighttime",신생아 야간
"Neonate, holiday",신생아 공휴일
conduct during an examination in the angiography room,혈관조영촬영실에서 검사중 실시
neonatal intensive care,집중간호 신생아
Neonate other than indications,적응증 외 신생아
"00:00 - 06:00 to admission, neonatal intensive care",오전0-6시입원 집중간호 신생아
"00:00 - 06:00 to admission, Neonate other than indications",오전0-6시입원  적응증 외 신생아
"discharge between 18:00 - 24:00, neonatal intensive care",18-24시퇴원 집중간호 신생아
"discharge between 18:00 - 24:00, Neonate other than indications",18시-24시퇴원  적응증 외 신생아
more than 70 years old,만70세이상
"more than 70 years old, Nighttime","만70세이상, 야간"
"more than 70 years old, holiday","만70세이상, 공휴일"
general Hospital,종합병원
Geriatric Hospital,요양병원
Retraining (Change chemotherapy),재교육(항암화학요법 변경)
Under 6 years old,6세미만
"Under 6 years old, Retraining (Change chemotherapy)",6세미만  재교육(항암화학요법 변경)
Retraining (surgery for stoma repositioning),재교육(stoma 위치 변경을 위한 수술)
"Under 6 years old, Retraining (surgery for stoma repositioning)",6세미만  재교육(stoma 위치 변경을 위한 수술)
pathological examination qualitative addition(4%),병리검사 질가산(4%)
Clinical Pathologist etc. reading,진단검사의학과전문의 등 판독
"Diagnostic and laboratory test qualitative addition(4%), Clinical Pathologist etc. reading",진단검사 질가산(4%) 진단검사의학과전문의 등 판독
"Diagnostic and laboratory test qualitative addition(3%), Clinical Pathologist etc. reading",진단검사 질가산(3%) 진단검사의학과전문의 등 판독
"Diagnostic and laboratory test qualitative addition(2%), Clinical Pathologist etc. reading",진단검사 질가산(2%) 진단검사의학과전문의 등 판독
"Diagnostic and laboratory test qualitative addition(1%), Clinical Pathologist etc. reading",진단검사 질가산(1%) 진단검사의학과전문의 등 판독
"pathological examination qualitative addition(4%), Clinical Pathologist etc. reading",병리검사 질가산(4%) 진단검사의학과전문의 등 판독
Diagnostic and laboratory test qualitative addition(4%),진단검사 질가산(4%)
Diagnostic and laboratory test qualitative addition(3%),진단검사 질가산(3%)
Diagnostic and laboratory test qualitative addition(2%),진단검사 질가산(2%)
Diagnostic and laboratory test qualitative addition(1%),진단검사 질가산(1%)
therapeutic purpose,치료목적
"Under 12 months, emergency",만1세미만 응급
"Under 12 months, therapeutic emergency",만1세미만 치료목적 응급
"More than 12 months~ Under 72 months, emergency",만1세이상~만6세미만 응급
"More than 12 months~ Under 72 months, therapeutic emergency",만1세이상~만6세미만 치료목적 응급
emergency,응급
Therapeutic Emergency,치료목적 응급
"regional trauma center, severe trauma",권역외상센터 중증외상
"therapeutic purpose regional trauma center, severe trauma",치료목적 권역외상센터 중증외상
"Under 12 months, therapeutic purpose",만1세미만 치료목적
"More than 12 months~ Under 72 months, therapeutic purpose",만1세이상~만6세미만 치료목적
"Under 12 months, regional trauma center, severe trauma",만1세미만 권역외상센터 중증외상
"Under 12 months, therapeutic purpose regional trauma center, severe trauma",만1세미만 치료목적 권역외상센터 중증외상
"More than 12 months~ Under 72 months, regional trauma center, severe trauma",만1세이상~만6세미만 권역외상센터 중증외상
"More than 12 months~ Under 72 months, therapeutic purpose regional trauma center, severe trauma",만1세이상~만6세미만 치료목적 권역외상센터 중증외상
Cardiothoracic surgeon,흉부외과 전문의
General surgeon,외과 전문의
RNA fusion gene Clinical Pathologist etc. reading,RNA fusion gene  진단검사의학과전문의 등 판독
RNA fusion gene Diagnostic and laboratory test qualitative addition(4%) Clinical Pathologist etc. reading,RNA fusion gene 진단검사 질가산(4%) 진단검사의학과전문의 등 판독
RNA fusion gene Diagnostic and laboratory test qualitative addition(3%) Clinical Pathologist etc. reading,RNA fusion gene 진단검사 질가산(3%) 진단검사의학과전문의 등 판독
RNA fusion gene Diagnostic and laboratory test qualitative addition(2%) Clinical Pathologist etc. reading,RNA fusion gene 진단검사 질가산(2%) 진단검사의학과전문의 등 판독
RNA fusion gene Diagnostic and laboratory test qualitative addition(1%) Clinical Pathologist etc. reading,RNA fusion gene 진단검사 질가산(1%) 진단검사의학과전문의 등 판독
RNA fusion gene pathological examination qualitative addition(4%) Clinical Pathologist etc. reading,RNA fusion gene 병리검사 질가산(4%) 진단검사의학과전문의 등 판독
Nuclear medicine examination qualitative addition(4%),핵의학검사 질가산(4%)
Nuclear medicine examination qualitative addition(4%) Clinical Pathologist etc. reading,핵의학검사 질가산(4%) 진단검사의학과전문의 등 판독
Slide reading from external hospital,외부슬라이드판독검사
pathological examination qualitative addition(4%) Slide reading from external hospital,병리검사 질가산(4%) 외부슬라이드판독검사
"regional trauma center, Severe trauma",권역외상센터중증외상
Photography and Analysis of Eye Movement Range,안구운동범위 촬영 및 분석
Endoscopic biopsy,내시경하 생검
"Under 12 months, Endoscopic biopsy",만1세미만 내시경하 생검
"More than 12 months~ Under 72 months, Endoscopic biopsy",만1세이상~만6세미만 내시경하 생검
"Under 12 months, emergency biopsy",만1세미만 응급 생검
"More than 12 months~ Under 72 months, emergency biopsy",만1세이상~만6세미만 응급 생검
Emergency biopsy,응급 생검
"regional trauma center, Severe trauma, biopsy",권역외상센터중증외상 생검
"Under 12 months, regional trauma center, Severe trauma",만1세미만 권역외상센터중증외상
"Under 12 months, Endoscopic biopsy, regional trauma center, Severe trauma",만1세미만 내시경하 생검 권역외상센터중증외상
"More than 12 months~ Under 72 months, regional trauma center, Severe trauma",만1세이상~만6세미만 권역외상센터중증외상
"More than 12 months~ Under 72 months, Endoscopic biopsy, regional trauma center, Severe trauma",만1세이상~만6세미만 내시경하 생검 권역외상센터중증외상
"cardiothoracic surgeon, Endoscopic biopsy",흉부외과 전문의 내시경하 생검
brushing,brushing
"Under 12 months, emergency brushing",만1세미만 응급  brushing
"More than 12 months~ Under 72 months, emergency brushing",만1세이상~만6세미만 응급  brushing
Emergency brushing,응급  brushing
"regional trauma center, severe trauma brushing",권역외상센터중증외상  brushing
"Under 12 months, brushing",만1세미만  brushing
"More than 12 months~ Under 72 months, brushing",만1세이상~만6세미만  brushing
"Under 12 months, brushing, regional trauma center, Severe trauma",만1세미만  brushing 권역외상센터중증외상
"More than 12 months~ Under 72 months, brushing, regional trauma center, Severe trauma",만1세이상~만6세미만  brushing 권역외상센터중증외상
"more than 70 years old, Holiday",만70세이상 공휴일
limited,제한적
Doppler,도플러
Doppler limited,도플러  제한적
"Under 12 months, limited",만1세미만  제한적
"Under 12 months, Doppler",만1세미만  도플러
"Under 12 months, Doppler limited",만1세미만  도플러  제한적
"More than 12 months~ Under 72 months, limited",만1세이상~만6세미만  제한적
"More than 12 months~ Under 72 months, Doppler",만1세이상~만6세미만  도플러
"More than 12 months~ Under 72 months, Doppler limited",만1세이상~만6세미만  도플러  제한적
with Contrast Material,조영제 사용
"with Contrast Material, limited",조영제 사용  제한적
"Under 12 months, with Contrast Material",만1세미만  조영제 사용
"Under 12 months, with Contrast Material, limited",만1세미만  조영제 사용  제한적
"More than 12 months~ Under 72 months, with Contrast Material",만1세이상~만6세미만  조영제 사용
"More than 12 months~ Under 72 months, with Contrast Material, limited",만1세이상~만6세미만  조영제 사용  제한적
Digital EEG analysis,Digital 뇌파분석
Under 72 months,만6세미만
Under 72 months Digital EEG analysis,만6세미만 Digital 뇌파분석
radiologist reading,영상의학과전문의판독
Radiography fee etc.,촬영료 등
Under 72 months radiologist reading,만6세미만 영상의학과전문의판독
Under 72 months Radiography fee etc.,만6세미만 촬영료 등
External Hospital Film's radiologic reading fee,외부병원필름판독료
Both sides vessels,양측혈관
Both sides vessels External Hospital Film's radiologic reading fee,양측혈관 외부병원필름판독료
Both sides vessels radiologist reading,양측혈관 영상의학과전문의 판독
Both sides vessels Radiography fee etc.,양측혈관 촬영료 등
From the second angiogram,두 번째 혈관 촬영부터
From the second angiogram External Hospital Film's radiologic reading fee,두 번째 혈관 촬영부터 외부병원필름판독료
From the second angiogram radiologist reading,두 번째 혈관 촬영부터 영상의학과전문의 판독
From the second angiogram Radiography fee etc.,두 번째 혈관 촬영부터 촬영료 등
From the second angiogram Both sides vessels,두 번째 혈관 촬영부터 양측 혈관인 경우
From the second angiogram Both sides vessels External Hospital Film's radiologic reading fee,두 번째 혈관 촬영부터 양측 혈관인 경우 외부병원필름판독료
From the second angiogram Both sides vessels radiologist reading,두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독
From the second angiogram Both sides vessels Radiography fee etc.,두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
Under 72 months Emergency,만6세미만 응급
Under 72 months Emergency radiologist reading,만6세미만 응급 영상의학과전문의 판독
Under 72 months Emergency Radiography fee etc.,만6세미만 응급 촬영료 등
Under 72 months Emergency Both sides vessels,만6세미만 응급 양측혈관
Under 72 months Emergency Both sides vessels radiologist reading,만6세미만 응급 양측혈관 영상의학과전문의 판독
Under 72 months Emergency Both sides vessels Radiography fee etc.,만6세미만 응급 양측혈관 촬영료 등
Under 72 months Emergency from the second angiogram,만6세미만 응급 두 번째 혈관 촬영부터
Under 72 months Emergency from the second angiogram radiologist reading,만6세미만 응급 두 번째 혈관 촬영부터 영상의학과전문의 판독
Under 72 months Emergency from the second angiogram Radiography fee etc.,만6세미만 응급 두 번째 혈관 촬영부터 촬영료 등
Under 72 months Emergency from the second angiogram Both sides vessels,만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우
Under 72 months Emergency from the second angiogram Both sides vessels radiologist reading,만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독
Under 72 months Emergency from the second angiogram Both sides vessels Radiography fee etc.,만6세미만 응급 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
Under 72 months Both sides vessels,만6세미만 양측혈관
Under 72 months Both sides vessels radiologist reading,만6세미만 양측혈관 영상의학과전문의 판독
Under 72 months Both sides vessels Radiography fee etc.,만6세미만 양측혈관 촬영료 등
Under 72 months from the second angiogram,만6세미만 두 번째 혈관 촬영부터
Under 72 months from the second angiogram radiologist reading,만6세미만 두 번째 혈관 촬영부터 영상의학과전문의 판독
Under 72 months from the second angiogram Radiography fee etc.,만6세미만 두 번째 혈관 촬영부터 촬영료 등
Under 72 months from the second angiogram Both sides vessels,만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우
Under 72 months from the second angiogram Both sides vessels radiologist reading,만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독
Under 72 months from the second angiogram Both sides vessels Radiography fee etc.,만6세미만 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
Emergency radiologist reading,응급 영상의학과전문의판독
Emergency Radiography fee etc.,응급 촬영료 등
Emergency Both sides vessels,응급 양측혈관
Emergency Both sides vessels radiologist reading,응급 양측혈관 영상의학전문의 판독
Emergency Both sides vessels Radiography fee etc.,응급 양측혈관 촬영료 등
Emergency from the second angiogram,응급 두 번째 혈관 촬영부터
Emergency from the second angiogram radiologist reading,응급 두 번째 혈관 촬영부터 영상의학전문의 판독
Emergency from the second angiogram Radiography fee etc.,응급 두 번째 혈관 촬영부터 촬영료 등
Emergency from the second angiogram Both sides vessels,응급 두 번째 혈관 촬영부터 양측 혈관인 경우
Emergency from the second angiogram Both sides vessels radiologist reading,응급 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학전문의 판독
Emergency from the second angiogram Both sides vessels Radiography fee etc.,응급 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
regional trauma center severe trauma radiologist reading,권역외상센터중증외상 영상의학과전문의판독
regional trauma center severe trauma Radiography fee etc.,권역외상센터중증외상 촬영료 등
regional trauma center severe trauma Both sides vessels,권역외상센터중증외상 양측혈관
regional trauma center severe trauma Both sides vessels radiologist reading,권역외상센터중증외상 양측혈관 영상의학전문의 판독
regional trauma center severe trauma Both sides vessels Radiography fee etc.,권역외상센터중증외상 양측혈관 촬영료 등
regional trauma center severe trauma from the second angiogram,권역외상센터중증외상 두 번째 혈관 촬영부터
regional trauma center severe trauma from the second angiogram radiologist reading,권역외상센터중증외상 두 번째 혈관 촬영부터 영상의학전문의 판독
regional trauma center severe trauma from the second angiogram Radiography fee etc.,권역외상센터중증외상 두 번째 혈관 촬영부터 촬영료 등
regional trauma center severe trauma from the second angiogram Both sides vessels,권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우
regional trauma center severe trauma from the second angiogram Both sides vessels radiologist reading,권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학전문의 판독
regional trauma center severe trauma from the second angiogram Both sides vessels Radiography fee etc.,권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
"Under 72 months regional trauma center, severe trauma",만6세미만 권역외상센터중증외상
"Under 72 months regional trauma center, severe trauma radiologist reading",만6세미만 권역외상센터중증외상 영상의학과전문의 판독
"Under 72 months regional trauma center, severe trauma Radiography fee etc.",만6세미만 권역외상센터중증외상 촬영료 등
"Under 72 months regional trauma center, severe trauma Both sides vessels",만6세미만 권역외상센터중증외상 양측혈관
"Under 72 months regional trauma center, severe trauma Both sides vessels radiologist reading",만6세미만 권역외상센터중증외상 양측혈관 영상의학과전문의 판독
"Under 72 months regional trauma center, severe trauma Both sides vessels Radiography fee etc.",만6세미만 권역외상센터중증외상 양측혈관 촬영료 등
"Under 72 months regional trauma center, severe trauma from the second angiogram",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터
"Under 72 months regional trauma center, severe trauma from the second angiogram radiologist reading",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 영상의학과전문의 판독
"Under 72 months regional trauma center, severe trauma from the second angiogram Radiography fee etc.",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 촬영료 등
"Under 72 months regional trauma center, severe trauma from the second angiogram Both sides vessels",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우
"Under 72 months regional trauma center, severe trauma from the second angiogram Both sides vessels radiologist reading",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 영상의학과전문의 판독
"Under 72 months regional trauma center, severe trauma from the second angiogram Both sides vessels Radiography fee etc.",만6세미만 권역외상센터중증외상 두 번째 혈관 촬영부터 양측 혈관인 경우 촬영료 등
Nuclear Medicine and other specialist reading,핵의학과등전문의판독
Quantitative Analysis,정량분석
"Quantitative Analysis, Nuclear Medicine and other specialist reading","정량분석,핵의학과등전문의판독"
blood flow imaging,혈류영상
"blood flow imaging, Nuclear Medicine and other specialist reading",혈류영상 핵의학과등전문의판독
blood flow imaging + Quantitative Analysis,혈류+정량
"blood flow imaging + Quantitative Analysis, Nuclear Medicine and other specialist reading",혈류+정량 핵의학과등전문의판독
"Under 72 months, Nuclear Medicine physician reading","만6세미만,핵의학전문의판독"
"Under 72 months, Quantitative Analysis","만6세미만,정량분석"
"Under 72 months, Quantitative Analysis, Nuclear Medicine physician reading","만6세미만,정량분석,핵의학전문의판독"
"Under 72 months, blood flow imaging",만6세미만 혈류영상
"Under 72 months, blood flow imaging, Nuclear Medicine physician reading",만6세미만 혈류영상 핵의학과등전문의판독
"Under 72 months, blood flow + Quantitative Analysis",만6세미만 혈류+정량
"Under 72 months, blood flow + Quantitative Analysis, Nuclear Medicine physician reading",만6세미만 혈류+정량 핵의학과등전문의판독
Dynamic imaging,동적영상
"Dynamic imaging, Nuclear Medicine physician reading",동적영상 핵의학과등전문의판독
quantitative + Dynamic,정량+동적
"quantitative + Dynamic, Nuclear Medicine physician reading",정량+동적 핵의학과등전문의판독
Dynamic + blood flow,동적+혈류
"Dynamic + blood flow, Nuclear Medicine physician reading",동적+혈류 핵의학과등전문의판독
quantitative + Dynamic +blood flow,정량+동적+혈류
"quantitative + Dynamic +blood flow, Nuclear Medicine physician reading",정량+동적+혈류 핵의학과등전문의판독
Under 72 months Dynamic imaging,만6세미만 동적영상
"Under 72 months Dynamic imaging, Nuclear Medicine physician reading",만6세미만 동적영상 핵의학과등전문의판독
Under 72 months quantitative + Dynamic,만6세미만 정량+동적
"Under 72 months quantitative + Dynamic, Nuclear Medicine physician reading",만6세미만 정량+동적 핵의학과등전문의판독
Under 72 months Dynamic + blood flow,만6세미만 동적+혈류
"Under 72 months Dynamic + blood flow, Nuclear Medicine physician reading",만6세미만 동적+혈류 핵의학과등전문의판독
Under 72 months quantitative + Dynamic +blood flow,만6세미만 정량+동적+혈류
"Under 72 months quantitative + Dynamic +blood flow, Nuclear Medicine physician reading",만6세미만 정량+동적+혈류 핵의학과등전문의판독
Quality control inspection conformance acceptance,품질관리검사 적합판정
More than 3 Tesla,3 테슬라 이상
"More than 3 Tesla, Quality control inspection conformance acceptance",3 테슬라 이상 품질관리검사 적합판정
More than 0.5 Tesla Less than 1.5 Tesla,0.5테슬라 이상~1.5 테슬라 미만
"More than 0.5 Tesla Less than 1.5 Tesla, Quality control inspection conformance acceptance",0.5테슬라 이상~1.5 테슬라 미만 품질관리검사 적합판정
below 0.5 Tesla,0.5 테슬라 미만
"below 0.5 Tesla, Quality control inspection conformance acceptance",0.5 테슬라 미만 품질관리검사 적합판정
"Under 72 months, Quality control inspection conformance acceptance",만6세미만 품질관리검사 적합판정
"Under 72 months, More than 3 Tesla",만6세미만 3 테슬라 이상
"Under 72 months, More than 3 Tesla, Quality control inspection conformance acceptance",만6세미만 3 테슬라 이상 품질관리검사 적합판정
"Under 72 months, More than 0.5 Tesla Less than 1.5 Tesla",만6세미만 0.5테슬라 이상~1.5 테슬라 미만
"Under 72 months, More than 0.5 Tesla Less than 1.5 Tesla, Quality control inspection conformance acceptance",만6세미만 0.5테슬라 이상~1.5 테슬라 미만 품질관리검사 적합판정
"Under 72 months, below 0.5 Tesla",만6세미만  0.5 테슬라 미만
"Under 72 months, below 0.5 Tesla, Quality control inspection conformance acceptance",만6세미만  0.5 테슬라 미만 품질관리검사 적합판정
"Under 72 months, Nuclear Medicine physician etc. reading",만6세미만 핵의학과등전문의판독
Nuclear Medicine physician reading,핵의학과전문의판독
"Quantitative analysis, Nuclear Medicine physician reading","정량분석,핵의학과전문의판독"
NICU admission,신생아중환자실 입원
Pediatric ICU admission,소아중환자실 입원
"Nighttime, NICU admission","야간, 신생아중환자실 입원"
"Nighttime, pediatric ICU admission","야간, 소아중환자실 입원"
"Holiday, NICU admission","공휴일, 신생아중환자실 입원"
"Holiday, pediatric ICU admission","공휴일, 소아중환자실 입원"
prepare medicine fee,제제료
Powder medicine preparation fee,가루약 조제투약
Under 12 months Emergency,만1세미만  응급
Emergency Nighttime,응급 야간
Emergency holiday,응급 공휴일
"(Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday","(의원·치과의원(보건의료원포함))야간,토요,공휴"
"regional trauma center, severe trauma Nighttime",권역외상센터중증외상 야간
"regional trauma center, severe trauma holiday",권역외상센터중증외상 공휴
Neonate Emergency,신생아 응급
Neonate Emergency Nighttime,신생아 응급 야간
Neonate Emergency holiday,신생아 응급 공휴일
"(Clinic, dental clinic(including Public Health and Medical care center) Neonate Nighttime, Saturday, holiday","(의원·치과의원(보건의료원포함))신생아 야간,토요,공휴"
more than 70 years old emergency,만70세이상 응급
more than 70 years old emergency Nighttime,만70세이상 응급 야간
more than 70 years old emergency holiday,만70세이상 응급 공휴일
"(Clinics, dental clinics(including Public Health and Medical care center) 70 international age or more Nighttime, Saturday, holiday","(의원·치과의원(보건의료원포함))만70세이상 야간,토요,공휴"
"more than 70 years old regional trauma center, severe trauma",만70세이상 권역외상센터중증외상
"more than 70 years old regional trauma center, severe trauma Nighttime",만70세이상 권역외상센터중증외상 야간
"more than 70 years old regional trauma center, severe trauma holiday",만70세이상 권역외상센터중증외상 공휴
Under 12 months Emergency Nighttime,만1세미만 응급 야간
Under 12 months Emergency holiday,만1세미만 응급 공휴일
"(Clinic, dental clinic(including Public Health and Medical care center) Under 12 months Nighttime, Saturday, holiday","(의원·치과의원(보건의료원포함))만1세미만 야간,토요,공휴"
